"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT3G26610";0.0221160892460424;2.0753641012198;0.0847850873948763;0.933781173026895;1;-7.05798193135844
"AT4G31980";0.0221157925560789;2.6619875225928;0.182199139719524;0.858361150028322;1;-7.04405677764299
"AT2G05060";0.0221098493834978;0.00368497489724964;1.74941839758549;0.104820102830072;0.457217434708733;-5.59563758696821
"AT5G14620";0.0221072604009644;2.92626220880194;0.378244936616422;0.71162279712807;1;-6.98554986886628
"AT3G48210";0.0220993913226013;2.97235377682665;0.206986453719916;0.839369096978476;1;-7.03889910684186
"AT2G17930";0.0220848058888801;3.01358701937194;0.280331361495486;0.783829613726055;1;-7.01982451493969
"AT3G08530";0.0220845811650854;5.88280191982483;0.474438187418623;0.64340528250454;1;-6.94220760079628
"AT2G21330";0.0220842449990855;8.75035960290833;0.0982068554081262;0.923332365673731;1;-7.05666565275869
"ATMG01200";-0.0220735704145308;0.521485250039197;-0.255671456134498;0.802382131656608;1;-7.02687205241925
"AT1G10690";-0.0220700080321026;1.68004575273278;-0.124071133236613;0.903240745538323;1;-7.05358559511004
"AT3G27610";0.0220660128772794;2.73176716530274;0.178685946536078;0.861060735768344;1;-7.04473493370564
"AT2G25730";-0.0220645968120929;3.04347803949519;-0.204361562992623;0.841375544268917;1;-7.03947618934559
"AT3G24320";0.0220621442148132;1.82932910022499;0.343116221932361;0.737238446113613;1;-6.99899783842963
"AT2G21240";0.0220416720915626;4.71111101813577;0.227218939255502;0.823943964078875;1;-7.03420569175602
"AT1G58330";0.0220415590647021;0.0629739397678294;0.525421034933211;0.608526513177278;1;-6.91541323377425
"AT5G54440";0.022021474619073;3.68566093832615;0.406707253882632;0.691131652748564;1;-6.97371600858072
"AT3G02365";0.0220072774678801;0.0571381241986021;0.791113411774743;0.443696465366573;0.915758489274621;-6.73441869606761
"AT4G12170";-0.0219979862784272;0.302234480477188;-0.102596497269786;0.919918168754892;1;-7.05619332056083
"AT1G11920";0.0219971531782922;0.09992099609735;0.267894831944234;0.793169594656056;1;-7.02345885902824
"AT5G66570";-0.0219941175633167;11.1199696601663;-0.0987661429199158;0.922897270511869;1;-7.05660661866951
"AT5G23310";-0.0219806330352705;4.83602877978673;-0.231681952593008;0.820551411298135;1;-7.03311198240535
"AT2G17033";0.0219709978745191;3.78663753427014;0.144053749515313;0.887764872679677;1;-7.05071642359545
